,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_temp,Wind_speed
162,tuktoyaktuk,40.0,CA,2019-01-13,74.0,69.44,-133.03,-25.61,14.99
163,iquique,0.0,CL,2019-01-13,57.0,-20.22,-70.14,75.2,21.92
164,ottawa,90.0,CA,2019-01-13,72.0,45.42,-75.69,12.2,4.7
165,tiksi,0.0,RU,2019-01-13,0.0,71.64,128.87,-38.11,2.17
166,sechura,0.0,PE,2019-01-13,62.0,-5.56,-80.82,81.24,15.03
167,pacific grove,1.0,US,2019-01-13,57.0,36.62,-121.92,60.98,3.36
168,alice springs,8.0,AU,2019-01-13,31.0,-23.7,133.88,77.0,3.36
169,chokurdakh,24.0,RU,2019-01-13,42.0,70.62,147.9,-26.81,1.72
170,posse,76.0,BR,2019-01-13,61.0,-14.08,-46.36,82.14,4.52
171,mahebourg,40.0,MU,2019-01-13,74.0,-20.41,57.7,78.8,11.41
172,redmond,1.0,US,2019-01-13,54.0,47.67,-122.12,53.96,5.82
173,faya,0.0,SA,2019-01-13,44.0,18.39,42.45,59.0,8.05
174,tia mare,40.0,RO,2019-01-13,86.0,43.87,24.63,30.2,6.93
175,kota kinabalu,75.0,MY,2019-01-13,88.0,5.98,116.07,77.0,4.7
176,bograd,40.0,RU,2019-01-13,75.0,54.22,90.86,-16.61,2.73
177,katsuura,20.0,JP,2019-01-13,100.0,33.93,134.5,35.6,9.17
178,ongandjera,76.0,NA,2019-01-13,12.0,-17.88,15.07,78.09,14.25
179,nhamunda,24.0,BR,2019-01-13,66.0,-2.19,-56.71,84.52,3.85
180,lazaro cardenas,5.0,MX,2019-01-13,34.0,28.39,-105.62,64.4,8.05
181,togur,76.0,RU,2019-01-13,78.0,58.36,82.83,11.4,13.13
182,acapulco,20.0,MX,2019-01-13,70.0,16.86,-99.88,86.0,8.05
183,emmett,90.0,US,2019-01-13,81.0,43.87,-116.5,35.06,4.7
184,constitucion,5.0,MX,2019-01-13,11.0,23.99,-104.67,71.6,17.22
185,grand-santi,48.0,GF,2019-01-13,89.0,4.27,-54.38,76.42,2.51
186,henties bay,100.0,NA,2019-01-13,98.0,-22.12,14.28,64.36,7.09
187,itapetinga,12.0,BR,2019-01-13,78.0,-15.25,-40.25,75.57,7.43
188,balikpapan,40.0,ID,2019-01-13,94.0,-1.24,116.86,78.8,5.82
189,kodiak,90.0,US,2019-01-13,81.0,39.95,-94.76,32.0,6.93
190,katima mulilo,12.0,NA,2019-01-13,90.0,-17.5,24.28,68.77,2.62
191,saint-louis,75.0,CH,2019-01-13,87.0,47.59,7.56,48.2,17.22
192,igaracu do tiete,68.0,BR,2019-01-13,65.0,-22.51,-48.56,84.3,5.75
193,vardo,90.0,US,2019-01-13,78.0,39.62,-77.74,30.2,10.29
194,severo-kurilsk,88.0,RU,2019-01-13,100.0,50.68,156.12,26.52,3.74
195,san carlos del zulia,44.0,VE,2019-01-13,65.0,9.0,-71.91,86.14,3.18
196,ngora,0.0,UG,2019-01-13,58.0,1.46,33.78,70.21,10.56
197,shingu,0.0,JP,2019-01-13,100.0,33.72,135.99,45.64,8.99
198,mazatlan,5.0,MX,2019-01-13,39.0,23.22,-106.42,84.2,8.05
199,clyde river,75.0,CA,2019-01-13,65.0,70.47,-68.59,-36.41,8.05
200,bethanien,0.0,NA,2019-01-13,36.0,-26.5,17.16,73.99,10.45
201,ust-tsilma,76.0,RU,2019-01-13,77.0,65.44,52.15,17.25,7.65
202,iisalmi,90.0,FI,2019-01-13,92.0,63.56,27.19,17.6,8.05
203,ponta do sol,20.0,BR,2019-01-13,70.0,-20.63,-46.0,81.64,2.62
204,touros,40.0,BR,2019-01-13,78.0,-5.2,-35.46,82.4,12.75
205,broome,0.0,GB,2019-01-13,81.0,52.47,1.45,45.14,14.99
206,carnarvon,0.0,ZA,2019-01-13,38.0,-30.97,22.13,64.5,8.77
207,lompoc,1.0,US,2019-01-13,71.0,34.64,-120.46,60.08,10.29
208,castro,0.0,CL,2019-01-13,52.0,-42.48,-73.76,64.4,8.05
209,kyzyl-suu,0.0,KG,2019-01-13,100.0,42.34,78.0,6.67,3.18
210,half moon bay,75.0,US,2019-01-13,64.0,37.46,-122.43,62.06,5.82
211,paamiut,24.0,GL,2019-01-13,94.0,61.99,-49.67,31.06,8.66
212,skibbereen,75.0,IE,2019-01-13,75.0,51.55,-9.27,46.4,18.34
213,saint-philippe,90.0,CA,2019-01-13,66.0,45.36,-73.48,12.2,2.24
214,mbarara,32.0,UG,2019-01-13,87.0,-0.61,30.65,61.21,2.28
215,srednekolymsk,56.0,RU,2019-01-13,37.0,67.46,153.71,-24.29,5.3
216,petropavlovka,44.0,RU,2019-01-13,29.0,50.61,105.32,-21.32,2.62
217,brtnice,75.0,CZ,2019-01-13,93.0,49.31,15.68,35.6,14.99
218,segovia,0.0,ES,2019-01-13,84.0,40.95,-4.12,35.6,1.12
219,feira de santana,64.0,BR,2019-01-13,42.0,-12.26,-38.96,87.67,12.24
220,batticaloa,92.0,LK,2019-01-13,100.0,7.71,81.69,75.88,7.54
221,bilibino,12.0,RU,2019-01-13,0.0,68.06,166.44,-38.78,2.39
222,barinas,0.0,VE,2019-01-13,60.0,8.64,-70.23,86.37,9.1
223,eyrarbakki,75.0,IS,2019-01-13,73.0,63.86,-21.15,26.6,6.93
224,atherton,92.0,GB,2019-01-13,70.0,53.52,-2.49,46.4,18.34
225,kurchum,48.0,KZ,2019-01-13,80.0,48.57,83.65,3.57,2.62
226,sao joao da barra,0.0,BR,2019-01-13,65.0,-21.64,-41.05,82.4,18.34
227,ahipara,88.0,NZ,2019-01-13,88.0,-35.17,173.16,68.55,18.84
228,una,100.0,BR,2019-01-13,100.0,-15.29,-39.07,76.02,6.42
229,launceston,0.0,AU,2019-01-13,76.0,-41.43,147.14,57.2,6.93
230,jollyville,1.0,US,2019-01-13,54.0,30.44,-97.78,53.96,8.05
231,grand gaube,40.0,MU,2019-01-13,74.0,-20.01,57.66,78.8,11.41
232,buala,64.0,SB,2019-01-13,87.0,-8.15,159.59,82.99,8.88
233,port hardy,75.0,CA,2019-01-13,81.0,50.7,-127.42,50.0,6.93
234,luderitz,20.0,NA,2019-01-13,89.0,-26.65,15.16,63.28,12.91
235,canon city,0.0,US,2019-01-13,39.0,39.46,-117.13,39.07,3.62
236,afua,24.0,NG,2019-01-13,83.0,5.27,7.87,76.02,7.65
237,viana,20.0,ES,2019-01-13,81.0,42.52,-2.37,46.4,4.7
238,mount isa,0.0,AU,2019-01-13,31.0,-20.73,139.49,78.8,5.82
239,adrar,0.0,DZ,2019-01-13,36.0,27.87,-0.29,46.4,13.87
240,cao bang,92.0,VN,2019-01-13,100.0,22.67,106.25,56.94,3.06
241,veraval,90.0,FR,2019-01-13,93.0,49.65,0.71,50.0,17.22
242,bambanglipuro,92.0,ID,2019-01-13,86.0,-7.95,110.28,75.7,2.73
243,sao filipe,20.0,CV,2019-01-13,96.0,14.9,-24.5,72.6,12.68
